title,artist,emotion,youtube_id,frequency,brainwave,type
Alpha_10_Hz,Binaural Beats Generator,focus,dQw4w9WgXcQ,10,alpha,pure
Delta_2_Hz,Sleep Sounds,calm,dQw4w9WgXcQ,2,delta,pure
Theta_6_Hz,Meditation Music,anxious,dQw4w9WgXcQ,6,theta,pure
Beta_15_Hz,Study Music,focus,dQw4w9WgXcQ,15,beta,pure
Gamma_40_Hz,Brain Boost,happy,dQw4w9WgXcQ,40,gamma,pure
Delta_3_Hz_Sleep,Deep Sleep,calm,dQw4w9WgXcQ,3,delta,pure
Alpha_12_Hz_Focus,Concentration Aid,focus,dQw4w9WgXcQ,12,alpha,pure
Theta_4_Hz_Meditation,Mindfulness,calm,dQw4w9WgXcQ,4,theta,pure
Beta_20_Hz_Alert,Mental Alertness,focus,dQw4w9WgXcQ,20,beta,pure
Gamma_60_Hz_Euphoria,Happiness Boost,happy,dQw4w9WgXcQ,60,gamma,pure
Delta_1_5_Hz_DeepSleep,Ultra Deep Sleep,calm,dQw4w9WgXcQ,1.5,delta,pure
Theta_7_Hz_Creativity,Creative Flow,focus,dQw4w9WgXcQ,7,theta,pure
Alpha_8_Hz_Relaxation,Peaceful Mind,calm,dQw4w9WgXcQ,8,alpha,pure
Beta_25_Hz_Energy,High Energy,happy,dQw4w9WgXcQ,25,beta,pure
Theta_5_Hz_Stress_Relief,Anxiety Relief,anxious,dQw4w9WgXcQ,5,theta,pure
Delta_2_5_Hz_Healing,Emotional Healing,sad,dQw4w9WgXcQ,2.5,delta,pure
Alpha_11_Hz_Confidence,Self Confidence,happy,dQw4w9WgXcQ,11,alpha,pure
Beta_18_Hz_Problem_Solving,Mental Clarity,focus,dQw4w9WgXcQ,18,beta,pure
Gamma_50_Hz_Insight,Spiritual Insight,focus,dQw4w9WgXcQ,50,gamma,pure
Theta_6_5_Hz_Memory,Memory Enhancement,focus,dQw4w9WgXcQ,6.5,theta,pure
Alpha_9_Hz_Isochronic_Pulses,Relaxed Focus,focus,dQw4w9WgXcQ,9,alpha,isochronic
Delta_3_Hz_Solfeggio_396_Hz,Root Chakra Healing,calm,dQw4w9WgXcQ,3,delta,solfeggio
Theta_4_Hz_Solfeggio_528_Hz,Love Frequency,happy,dQw4w9WgXcQ,4,theta,solfeggio
Alpha_10_Hz_Solfeggio_741_Hz,Intuition Enhancement,focus,dQw4w9WgXcQ,10,alpha,solfeggio
Beta_16_Hz_Anger_Release,Anger Management,angry,dQw4w9WgXcQ,16,beta,pure
Delta_1_Hz_Deep_Calm,Ultimate Calm,calm,dQw4w9WgXcQ,1,delta,pure
Theta_8_Hz_Emotional_Balance,Emotional Healing,sad,dQw4w9WgXcQ,8,theta,pure
Beta_30_Hz_High_Beta,Intense Focus,focus,dQw4w9WgXcQ,30,beta,pure
Gamma_80_Hz_Consciousness,Higher Consciousness,happy,dQw4w9WgXcQ,80,gamma,pure
Alpha_13_Hz_Lucid_Dreams,Dream Enhancement,calm,dQw4w9WgXcQ,13,alpha,pure